ConnectorAlignedID	BankID	PinID	ElectrodeID	Impedances_kOhm	GridID
1	1	4	4	48	1
2	3	17	81	54	1
3	3	19	83	51	1
4	3	21	85	49	1
5	3	24	88	50	1
6	3	26	90	49	1
7	3	28	92	51	1
8	3	29	93	52	1
9	3	32	96	54	1
10	1	22	22	57	1
11	3	15	79	49	1
12	3	16	80	45	1
13	3	20	84	49	1
14	3	22	86	50	1
15	3	23	87	52	1
16	3	25	89	50	1
17	3	27	91	49	1
18	3	30	94	53	1
19	2	31	63	50	1
20	3	31	95	53	1
21	3	13	77	46	1
22	3	14	78	48	1
23	3	18	82	48	1
24	2	17	49	52	1
25	2	21	53	44	1
26	2	23	55	48	1
27	2	25	57	90	1
28	2	27	59	48	1
29	2	29	61	51	1
30	1	32	32	49	1
31	3	11	75	57	1
32	3	12	76	47	1
33	2	13	45	45	1
34	2	15	47	48	1
35	2	19	51	48	1
36	2	24	56	51	1
37	2	26	58	51	1
38	2	28	60	48	1
39	2	32	64	47	1
40	1	30	30	51	1
41	3	9	73	48	1
42	2	4	74	44	1
43	2	9	41	45	1
44	2	11	43	49	1
45	2	12	44	46	1
46	2	14	46	48	1
47	2	20	52	49	1
48	2	30	62	49	1
49	1	31	31	49	1
50	1	28	28	53	1
51	3	7	71	49	1
52	3	8	72	45	1
53	2	7	39	46	1
54	2	8	40	43	1
55	2	10	42	48	1
56	2	18	50	43	1
57	2	22	54	43	1
58	1	21	21	55	1
59	1	29	29	52	1
60	1	26	26	52	1
61	3	5	69	67	1
62	3	6	70	52	1
63	2	5	37	47	1
64	2	6	38	49	1
65	2	16	48	45	1
66	1	15	15	46	1
67	1	19	19	52	1
68	1	25	25	47	1
69	1	27	27	46	1
70	1	24	24	53	1
71	3	3	67	47	1
72	3	4	68	48	1
73	2	3	35	48	1
74	2	4	36	48	1
75	1	5	5	48	1
76	1	17	17	50	1
77	1	13	13	41	1
78	1	23	23	45	1
79	1	20	20	47	1
80	-1	-1	-1	-1	1
81	3	1	65	46	1
82	3	2	66	48	1
83	2	1	33	44	1
84	2	2	34	45	1
85	1	7	7	49	1
86	1	9	9	48	1
87	1	11	11	50	1
88	1	12	12	50	1
89	1	16	16	48	1
90	-1	-1	-1	-1	1
91	1	1	1	52	1
92	1	2	2	44	1
93	-1	-1	-1	-1	1
94	1	3	3	50	1
95	-1	-1	-1	-1	1
96	1	6	6	46	1
97	1	8	8	47	1
98	1	10	10	48	1
99	1	14	14	53	1
100	1	18	18	55	1
