ConnectorAlignedID	BankID	PinID	ElectrodeID	Impedances_kOhm	GridID
1	-1	-1	-1	-1	1
2	3	17	81	62	1
3	3	19	83	49	1
4	3	21	85	49	1
5	3	24	88	73	1
6	3	26	90	48	1
7	3	28	92	47	1
8	3	29	93	56	1
9	3	32	96	55	1
10	-1	-1	-1	-1	1
11	3	15	79	49	1
12	3	16	80	59	1
13	3	20	84	58	1
14	3	22	86	92	1
15	3	23	87	56	1
16	3	25	89	56	1
17	3	27	91	56	1
18	3	30	94	49	1
19	2	31	63	60	1
20	3	31	95	51	1
21	3	13	77	50	1
22	3	14	78	65	1
23	3	18	82	53	1
24	2	17	49	67	1
25	2	21	53	57	1
26	2	23	55	45	1
27	2	25	57	62	1
28	2	27	59	55	1
29	2	29	61	49	1
30	1	32	32	51	1
31	3	11	75	61	1
32	3	12	76	56	1
33	2	13	45	53	1
34	2	15	47	49	1
35	2	19	51	51	1
36	2	24	56	46	1
37	2	26	58	64	1
38	2	28	60	57	1
39	2	32	64	62	1
40	1	30	30	45	1
41	3	9	73	50	1
42	2	4	74	60	1
43	2	9	41	47	1
44	2	11	43	56	1
45	2	12	44	57	1
46	2	14	46	53	1
47	2	20	52	50	1
48	2	30	62	57	1
49	1	31	31	52	1
50	1	28	28	44	1
51	3	7	71	59	1
52	3	8	72	55	1
53	2	7	39	47	1
54	2	8	40	54	1
55	2	10	42	57	1
56	2	18	50	57	1
57	2	22	54	52	1
58	1	21	21	42	1
59	1	29	29	46	1
60	1	26	26	45	1
61	3	5	69	64	1
62	3	6	70	57	1
63	2	5	37	48	1
64	2	6	38	58	1
65	2	16	48	47	1
66	1	15	15	51	1
67	1	19	19	47	1
68	1	25	25	48	1
69	1	27	27	46	1
70	1	24	24	48	1
71	3	3	67	58	1
72	3	4	68	71	1
73	2	3	35	60	1
74	2	4	36	76	1
75	1	5	5	48	1
76	1	17	17	61	1
77	1	13	13	69	1
78	1	23	23	41	1
79	1	20	20	44	1
80	1	22	22	43	1
81	3	1	65	58	1
82	3	2	66	49	1
83	2	1	33	52	1
84	2	2	34	69	1
85	1	7	7	51	1
86	1	9	9	72	1
87	1	11	11	46	1
88	1	12	12	41	1
89	1	16	16	46	1
90	1	18	18	47	1
91	-1	-1	-1	-1	1
92	1	2	2	92	1
93	1	1	1	73	1
94	1	3	3	68	1
95	1	4	4	67	1
96	1	6	6	57	1
97	1	8	8	61	1
98	1	10	10	57	1
99	1	14	14	44	1
100	-1	-1	-1	-1	1
