"Path","Property Name","Value","Data Unit","Data Uncertainty","odML Data Type","Property Definition"
"/Cerebus","Owner","Riken, Japan","","","string","Owner of the device"
"","Manufacturer","Blackrock Microsystems","","","","Manufacturer of the device"
"","UserManual","file://-","","","url","User manual URL of the device"
"/Cerebus/ControlComputer","CPU","-","","","string","CPU model"
"","RAM",-1.0,"GB","","float","Amount of RAM"
"","Mainboard","-","","","string","Mainboard type"
"","HarddiskCapacity",-1.0,"GB","","float","Disk capacity of data storage"
"","OSType","-","","","string","Type of operating system"
"","OSVersion","","","","","Version of operating system"
"/Cerebus/ControlComputer/ControlSoftware","Name","CentralSuite","","","","Name of software"
"","Manufacturer","Blackrock Microsystems","","","","Manufacturer of software"
"","Version","-","","","","Software version"
"/Cerebus/NeuralSignalProcessor","Type","Real-time","","","","Type of the device"
"","Model","-","","","","Model of the device"
"/Cerebus/NeuralSignalProcessor/SpikeDetection/Waveforms","Width",1.6,"ms","","float","Waveform window width"
"","SamplingRate",30000,"samples/sec","","int","Sampling rate of data"
"","PreThresholdSamples",10,"samples","","","Number of samples before waveform passes threshold"
"/UtahArray","Owner","Riken, Japan","","","string","Owner of the device"
"","SerialNo","-","","","","Serial number of the device"
"","Manufacturer","Blackrock Microsystems","","","","Manufacturer of the device"
"","WiresMaterial","Pt/Au","","","","Material of wires connecting array and connector"
"","WiresDiameter",25.0,"µm","","float","Diameter of each wire"
"","WiresLength",-1.0,"mm","","","Length of each wire"
"/UtahArray/Array","GridCount",1,"","","int","Number of array grids"
"","ReferenceCount",2,"","","","Number of reference wires"
"","GroundCount",1,"","","","Number of ground wires"
"","ElectrodeCount",100,"","","","Total number of electrodes"
"","ActiveElectrodeCount",96,"","","","Number of connected/active electrodes"
"/UtahArray/Array/Grid_01","ID",1,"","","","Grid ID"
"","ElectrodeGeometry","flat","","","string","Geometry of the electrode lengths"
"","ElectrodeMetal","iridium oxide","","","","Electrode site metal option"
"","ElectrodePitch",400.0,"µm","","float","Inter-electrode-distance"
"","Insulation","Parylene-C","","","string","Insulation material"
"","GridRows",10,"","","int","Number of electrode rows."
"","GridColumns","","","","","Number of electrode columns"
"","GridWidth",4.0,"mm","","float","Width of array grid"
"","GridLength","","","","","Length of array grid"
"","ElectrodeCount",100,"","","int","Total number of electrodes"
"","ActiveElectrodeCount",0,"","","","Number of connected/active electrodes"
"/UtahArray/Connector","Style","CerePort","","","string","Style of the connector"
"","Height",16.5,"mm","","float","Height of the connector"
"","DiameterBase",19.0,"","","","Diameter of the base of the connector"
"","DiameterBody",11.0,"","","","Diameter of the body of the connector"
"","ImplantType","chronic","","","string","Type of implantation"
"","SkullMount","bone screws","","","","Type of mounting to the skull"
