"Path","Property Name","Value","Data Unit","Data Uncertainty","odML Data Type","Property Definition"
"/Cerebus","Owner","Riken, Japan","","","string","Owner of the device"
"","Manufacturer","Blackrock Microsystems","","","","Manufacturer of the device"
"","UserManual","file://-","","","url","User manual URL of the device"
"/Cerebus/ControlComputer","CPU","-","","","string","CPU model"
"","RAM",-1.0,"GB","","float","Amount of RAM"
"","Mainboard","-","","","string","Mainboard type"
"","HarddiskCapacity",-1.0,"GB","","float","Disk capacity of data storage"
"","OSType","-","","","string","Type of operating system"
"","OSVersion","","","","","Version of operating system"
"/Cerebus/ControlComputer/ControlSoftware","Name","CentralSuite","","","","Name of software"
"","Manufacturer","Blackrock Microsystems","","","","Manufacturer of software"
"","Version","-","","","","Software version"
"/Cerebus/NeuralSignalAmplifier","Type","Front-End Amplifier","","","","Type of amplifier"
"","Model","-","","","","Model of amplifier"
"","ChannelCount",128,"","","int","Total number of analog input channels"
"","UsedChannelCount",96,"","","","Number of analog input channels used"
"","SavedIn","ns6","","","string","File in which data would be saved (if it is saved)"
"","IsSaved","False","","","boolean","States if signal is saved without further processing"
"/Cerebus/NeuralSignalAmplifier/ADConverter","AIRange",-8.192,"mV","","float","Voltage range of analog input"
"","",8.192,"","","",""
"","MaxAIImpedance",-1.0,"GΩ","","","Maximum impedance of analog input"
"","Resolution",0.25,"µV/bit","","","Resolution of AD converter"
"","DataBits",16,"bit","","int","Width of digital data in bits"
"","SamplingRate",-1,"samples/sec","","","Sampling rate of data"
"/Cerebus/NeuralSignalAmplifier/Amplifier","Gain",5000,"","","","Gain used"
"/Cerebus/NeuralSignalAmplifier/Filter","Type","butterworth","","","string","Filter type used"
"","Causal","True","","","boolean","States if the used filter is causal"
"","HighPassFreq",0.3,"Hz","","float","High pass frequency used"
"","LowPassFreq",7.5,"kHz","","","Low pass frequency used"
"","HighPassOrder",1,"","","int","High pass order used"
"","LowPassOrder",3,"","","","Low pass order used"
"/Cerebus/NeuralSignalProcessor","Type","Real-time","","","string","Type of the device"
