"Path","Property Name","Value","Data Unit","Data Uncertainty","odML Data Type","Property Definition"
"/Subject","Species","-","","","string","Binomial species name (genus, species within genus)"
"","TrivialName","","","","","Commonly used (trivial) species name"
"","GivenName","","","","","Given name"
"","Identifier","","","","","Identifier used in file names"
"","Gender","","","","","Gender (male or female)"
"","Birthday","1111-11-11","","","date","Date of birth (yyyy-mm-dd)"
"","ActiveHand","-","","","string","Trained hand (left and/or right)"
"","Disabilities","","","","text","Comment on existing disabilities"
"","Character","","","","","Comment on the general character/personality"
"/Subject/ArrayImplant","Date","1111-11-11","","","date","Date of the surgery"
"","Surgeon","-","","","string","Full name(s) of the person(s) responsible for the surgery"
"","Protocol","file://-","","","url","Surgery protocol URL"
"","Pictures","","","","","URL of pictures taken during the surgery"
"","Hemisphere","-","","","string","Hemisphere (left and/or right) in which surgery was performed"
"","Comment","","","","","Comment on the surgery"
"/Subject/Training","Coach","","","","","Full name(s) of person(s) responsible for the training"
"","Start","1111-11-11","","","date","Start date of training"
"","End","","","","","End date of training"
"","Protocol","file://-","","","url","Training protocol URL"
"","Comment","-","","","string","Comment on training"
