"Path","Property Name","Value","Data Unit","Data Uncertainty","odML Data Type","Property Definition"
"/Subsession","Session","-","","","string","Session name"
"","Subsession","","","","","Subsession name"
"","Date","1111-11-11","","","date","Date of session"
"","Weekday","-","","","string","Weekday of session"
"","Time","11:11:11","","","time","Time of subsession"
"","Duration",-1,"sec","","int","Duration of subsession"
"","IsSpikeSorted","False","","","boolean","States if a spike sorting was performed for this subsession "
"","TaskType","-","","","string","Performed task type"
"","Noisy","False","","","boolean","States if subsession is noisy"
"","Comment","-","","","string","Comment about the subsession"
