"Path","Property Name","Value","Data Unit","Data Uncertainty","odML Data Type","Property Definition"
"/Subsession","Session","-","","","string","Session name"
"","Subsession","","","","","Subsession name"
"","Date","1111-11-11","","","date","Date of session"
"","Weekday","-","","","string","Weekday of session"
"","Time","11:11:11","","","time","Time of subsession"
"","Duration",-1,"sec","","int","Duration of subsession"
"","IsSpikeSorted","False","","","boolean","States if a spike sorting was performed for this subsession "
"","TaskType","Mapping","","","string","Performed task type"
"","Noisy","False","","","boolean","States if subsession is noisy"
"","Comment","-","","","string","Comment about the subsession"
"/Subsession/TaskSettings","PassivePG",-1,"samples","","int","Time interval where a passively precision grip was mimicked"
"","UlnarDeviation","","","","","Time interval where Ulnar was deviated"
"","Digit2to3Extension","","","","","Time interval where digits 2 and 3 were extended"
"","TouchPalm","","","","","Time interval where palm was touched"
"","TouchCheek","","","","","Time interval where cheek was touched"
"/Subsession/TaskSettings/Digit2to5","Flexion","","","","","Time interval in which body part was flexed"
"","TouchInteriorFace","","","","","Time interval in which interior body part was touched"
"/Subsession/TaskSettings/Digit5","Flexion","","","","","Time interval in which body part was flexed"
"","TouchLateralFace","","","","","Time interval in which lateral body part was touched"
"/Subsession/TaskSettings/Elbow","Flexion","","","","","Time interval in which body part was flexed"
"","Extension","","","","","Time interval in which body part was extended"
"/Subsession/TaskSettings/Index","Abduction","","","","","Time interval in which body part was abducted"
"","Flexion","","","","","Time interval in which body part was flexed"
"","Extension","","","","","Time interval in which body part was extended"
"","TouchInteriorFace","","","","","Time interval in which interior body part was touched"
"/Subsession/TaskSettings/Shoulder","MoveForward","","","","","Time interval in which body part was moved forward"
"","Lowering","","","","","Time interval in which body part was lowered down"
"/Subsession/TaskSettings/Thumb","Abduction","","","","","Time interval in which body part was abducted"
"","Adduction","","","","","Time interval in which body part was adducted"
"","Extension","","","","","Time interval in which body part was extended"
"","TouchEnd","","","","","Time interval in which end of body part was touched"
"","TouchInterior","","","","","Time interval in which interior body part was touched"
"/Subsession/TaskSettings/Wrist","Flexion","","","","","Time interval in which body part was flexed"
"","Pronation","","","","","Time interval in which body part was pronated"
